LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2020-08-08 15:20:43,1900-01-00 00:00:00,udirc-WiFi-63CCA2,84:EA:97:63:CC:A2,-16, OPN,0.000000,0.000000,0.000,0.000,AP
2020-08-08 15:20:43,1900-01-00 00:00:00,udirc-WiFi-63CCA2,84:EA:97:63:CC:A2,-16, OPN,0.000000,0.000000,0.000,0.000,AP
2020-08-08 15:20:43,1900-01-00 00:00:00,udirc-WiFi-63CCA2,84:EA:97:63:CC:A2,-16, OPN,0.000000,0.000000,0.000,0.000,AP
2020-08-08 15:20:43,1900-01-00 00:00:00,udirc-WiFi-63CCA2,84:EA:97:63:CC:A2,-16, OPN,0.000000,0.000000,0.000,0.000,AP
2020-08-08 15:20:43,1900-01-00 00:00:00,udirc-WiFi-63CCA2,84:EA:97:63:CC:A2,-16, OPN,0.000000,0.000000,0.000,0.000,AP
2020-08-08 15:20:43,1900-01-00 00:00:00,udirc-WiFi-63CCA2,84:EA:97:63:CC:A2,-16, OPN,0.000000,0.000000,0.000,0.000,AP
2020-08-08 15:20:43,1900-01-00 00:00:00,udirc-WiFi-63CCA2,84:EA:97:63:CC:A2,-16, OPN,0.000000,0.000000,0.000,0.000,AP
2020-08-08 15:20:43,1900-01-00 00:00:00,udirc-WiFi-63CCA2,84:EA:97:63:CC:A2,-14, OPN,0.000000,0.000000,0.000,0.000,AP
2020-08-08 15:20:43,1900-01-00 00:00:00,,B8:B2:F8:6E:77:1A,-8,,0.000000,0.000000,0.000,0.000,Client
2020-08-08 15:20:43,1900-01-00 00:00:00,udirc-WiFi-63CCA2,84:EA:97:63:CC:A2,-14, OPN,0.000000,0.000000,0.000,0.000,AP
2020-08-08 15:20:43,1900-01-00 00:00:00,,B8:B2:F8:6E:77:1A,-10,,0.000000,0.000000,0.000,0.000,Client
2020-08-08 15:20:43,1900-01-00 00:00:00,udirc-WiFi-63CCA2,84:EA:97:63:CC:A2,-16, OPN,0.000000,0.000000,0.000,0.000,AP
2020-08-08 15:20:43,1900-01-00 00:00:00,udirc-WiFi-63CCA2,84:EA:97:63:CC:A2,-14, OPN,0.000000,0.000000,0.000,0.000,AP
2020-08-08 15:20:43,1900-01-00 00:00:00,udirc-WiFi-63CCA2,84:EA:97:63:CC:A2,-16, OPN,0.000000,0.000000,0.000,0.000,AP
2020-08-08 15:20:43,1900-01-00 00:00:00,,B8:B2:F8:6E:77:1A,-8,,0.000000,0.000000,0.000,0.000,Client
2020-08-08 15:20:43,1900-01-00 00:00:00,udirc-WiFi-63CCA2,84:EA:97:63:CC:A2,-16, OPN,0.000000,0.000000,0.000,0.000,AP
2020-08-08 15:20:43,1900-01-00 00:00:00,,B8:B2:F8:6E:77:1A,-16,,0.000000,0.000000,0.000,0.000,Client
2020-08-08 15:20:43,1900-01-00 00:00:00,,B8:B2:F8:6E:77:1A,-12,,0.000000,0.000000,0.000,0.000,Client
2020-08-08 15:20:43,1900-01-00 00:00:00,,B8:B2:F8:6E:77:1A,-12,,0.000000,0.000000,0.000,0.000,Client
2020-08-08 15:20:43,1900-01-00 00:00:00,,B8:B2:F8:6E:77:1A,-18,,0.000000,0.000000,0.000,0.000,Client
2020-08-08 15:20:43,1900-01-00 00:00:00,udirc-WiFi-63CCA2,84:EA:97:63:CC:A2,-14, OPN,0.000000,0.000000,0.000,0.000,AP
2020-08-08 15:20:43,1900-01-00 00:00:00,,B8:B2:F8:6E:77:1A,-18,,0.000000,0.000000,0.000,0.000,Client
2020-08-08 15:20:43,1900-01-00 00:00:00,udirc-WiFi-63CCA2,84:EA:97:63:CC:A2,-16, OPN,0.000000,0.000000,0.000,0.000,AP
2020-08-08 15:20:43,1900-01-00 00:00:00,,B8:B2:F8:6E:77:1A,-18,,0.000000,0.000000,0.000,0.000,Client
2020-08-08 15:20:43,1900-01-00 00:00:00,udirc-WiFi-63CCA2,84:EA:97:63:CC:A2,-16, OPN,0.000000,0.000000,0.000,0.000,AP
2020-08-08 15:20:43,1900-01-00 00:00:00,,B8:B2:F8:6E:77:1A,-18,,0.000000,0.000000,0.000,0.000,Client
2020-08-08 15:20:43,1900-01-00 00:00:00,,B8:B2:F8:6E:77:1A,-18,,0.000000,0.000000,0.000,0.000,Client
